seed,method,round,full_test_accuracy_percent,full_test_correct,n_test,train_loss,training_factor_bytes,control_bytes,assembly_bytes
42,fixed_domain,13,7.41,741,10000,1.3808596632301808,685440,109172784,2867312
42,fixed_domain,14,7.6899999999999995,769,10000,1.359360568319559,685440,109172784,2867312
42,fixed_domain,15,7.969999999999999,797,10000,1.3476534289968014,685440,109172784,2867312
42,fixed_domain,16,8.37,837,10000,1.3332793140810728,685440,109172784,2867312
42,fixed_domain,17,8.540000000000001,854,10000,1.3167354950118064,685440,109172784,2867312
42,fixed_domain,18,8.63,863,10000,1.306788458069563,685440,109172784,2867312
42,fixed_domain,19,8.5,850,10000,1.3043757102239133,685440,109172784,2867312
42,fixed_domain,20,8.74,874,10000,1.2994391955167055,685440,109172784,2867312
42,fixed_domain,21,9.120000000000001,912,10000,1.2955479102635383,685440,109172784,2867312
42,fixed_domain,22,8.91,891,10000,1.2904588245612383,685440,109172784,2867312
42,fixed_domain,23,9.3,930,10000,1.2855344802075623,685440,109172784,2867312
42,fixed_domain,24,9.77,977,10000,1.284187080758661,685440,109172784,2867312
42,fixed_domain,25,9.82,982,10000,1.284909054558277,685440,109172784,2867312
42,fixed_domain,26,10.620000000000001,1062,10000,1.286061775547266,685440,109172784,2867312
42,fixed_domain,27,11.16,1116,10000,1.2875977614820004,685440,109172784,2867312
42,fixed_domain,28,11.700000000000001,1170,10000,1.2931264707505703,685440,109172784,2867312
42,fixed_domain,29,11.540000000000001,1154,10000,1.2963941511440278,685440,109172784,2867312
42,fixed_domain,30,12.04,1204,10000,1.2980711949813366,685440,109172784,2867312
42,fixed_quality,1,1.55,155,10000,3.4430262020874025,685440,6384,2867312
