seed,method,round,client_id,rank,capacity_ceiling,stable_rank,ema_demand,quality_ema,changed
42,adaptive_domain,18,9,2,4,1.006210603018912,1.0072690043031007,0.2828788196560402,False
42,adaptive_domain,18,10,4,8,1.0979723985202972,1.1001786503924813,0.40323678990836886,False
42,adaptive_domain,18,11,8,16,1.0829967484568233,1.1256247695360735,0.36790156536128416,False
42,adaptive_domain,18,12,2,4,1.013220287442522,1.0153680731073913,0.3270787054920486,False
42,adaptive_domain,18,13,4,8,1.0462976492212026,1.0438242981777757,0.29412256657738356,False
42,adaptive_domain,18,14,8,16,1.1072175130995183,1.1005146711449438,0.4802354664330905,False
42,adaptive_domain,19,0,2,4,1.0021081733560797,1.0033017933052697,0.3723128175770189,False
42,adaptive_domain,19,1,4,8,1.0882239491757124,1.1372341773634673,0.3929939506364351,False
42,adaptive_domain,19,2,8,16,1.0611689527742634,1.0596058969487672,0.5581834257444473,False
42,adaptive_domain,19,3,2,4,1.0085241782399739,1.009085785773029,0.3431975184573153,False
42,adaptive_domain,19,4,4,8,1.0731187902735704,1.0610737263006285,0.4235918829735254,False
42,adaptive_domain,19,5,8,16,1.1171738133547882,1.1906098977662007,0.6584579719761827,False
42,adaptive_domain,19,6,2,4,1.0578869673159876,1.0332368563081957,0.3739178799453319,False
42,adaptive_domain,19,7,4,8,1.0152866187089562,1.0167797567650347,0.3957308996560932,False
42,adaptive_domain,19,8,8,16,1.029589026405319,1.0268051097772144,0.617705700331318,False
42,adaptive_domain,19,9,2,4,1.0027523098483906,1.0059139959666878,0.28381216358724787,False
42,adaptive_domain,19,10,4,8,1.1128742978322395,1.1039873446244086,0.40586765997624996,False
42,adaptive_domain,19,11,8,16,1.088028816478566,1.1143459836188212,0.36994440618965246,False
42,adaptive_domain,19,12,2,4,1.033659038379688,1.0208553626890802,0.3270087723564783,False
42,adaptive_domain,19,13,4,8,1.0439166586081898,1.0438520063069,0.2930432118107168,False
42,adaptive_domain,19,14,8,16,1.10544275921546,1.1019930975660988,0.48479897333851585,False
42,adaptive_domain,20,0,2,4,1.0021024726358823,1.0029419971044535,0.3742453238221611,False
42,adaptive_domain,20,1,4,8,1.0537535126807969,1.1121899779586661,0.3942997429877185,False
42,adaptive_domain,20,2,8,16,1.046236507509265,1.0555950801169165,0.5593156580991361,False
42,adaptive_domain,20,3,2,4,1.0093706468825026,1.0091712441058711,0.3442032582441824,False
42,adaptive_domain,20,4,4,8,1.0626843866097355,1.0615569243933605,0.42590748348311475,False
42,adaptive_domain,20,5,8,16,1.1073571898913257,1.1656340854037381,0.6632371729057774,False
42,adaptive_domain,20,6,2,4,1.076856348653243,1.0463227040117098,0.37637906836230683,False
42,adaptive_domain,20,7,4,8,1.0134159616768696,1.015770618238585,0.39743736999214707,False
42,adaptive_domain,20,8,8,16,1.0310319031451693,1.0280731477876008,0.6222954312394173,False
42,adaptive_domain,20,9,2,4,1.006621756812378,1.0061263242203948,0.2843707000432875,False
42,adaptive_domain,20,10,4,8,1.0884335326327614,1.0993212010269144,0.4075291025632793,False
