arm,seed,round,validation_accuracy,mean_peer_rank,training_bytes_cumulative,training_adapter_bytes,training_head_bytes,training_metadata_bytes,rank_peer0,rank_peer1,rank_peer2,rank_peer3,rank_peer4,rank_peer5,rank_peer6,rank_peer7,rank_peer8,rank_peer9
declora4,44,9,93.92201834862385,4.0,533322180,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,10,93.69266055045871,4.0,592580200,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,11,93.80733944954129,4.0,651838220,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,12,93.46330275229357,4.0,711096240,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,13,93.69266055045871,4.0,770354260,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,14,93.92201834862385,4.0,829612280,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,15,93.46330275229357,4.0,888870300,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,16,93.92201834862385,4.0,948128320,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,17,93.46330275229357,4.0,1007386340,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,18,93.80733944954129,4.0,1066644360,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,19,94.03669724770643,4.0,1125902380,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,20,93.69266055045871,4.0,1185160400,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,1,91.74311926605505,4.0,59258020,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,2,93.11926605504587,4.0,118516040,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,3,93.69266055045871,4.0,177774060,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,4,93.92201834862385,4.0,237032080,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,5,93.92201834862385,4.0,296290100,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,6,93.57798165137615,4.0,355548120,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,7,93.92201834862385,4.0,414806140,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,8,94.03669724770643,4.0,474064160,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,9,94.26605504587155,4.0,533322180,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,10,94.72477064220183,4.0,592580200,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,11,94.38073394495413,4.0,651838220,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,12,94.15137614678899,4.0,711096240,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,13,94.61009174311927,4.0,770354260,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,14,94.72477064220183,4.0,829612280,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,15,94.61009174311927,4.0,888870300,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,16,94.15137614678899,4.0,948128320,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,17,94.26605504587155,4.0,1007386340,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,18,94.72477064220183,4.0,1066644360,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,19,94.72477064220183,4.0,1125902380,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,45,20,94.72477064220183,4.0,1185160400,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,1,91.5137614678899,4.0,59258020,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,2,92.66055045871559,4.0,118516040,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,3,92.66055045871559,4.0,177774060,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,4,93.23394495412845,4.0,237032080,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,5,93.23394495412845,4.0,296290100,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,6,93.57798165137615,4.0,355548120,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,7,93.34862385321101,4.0,414806140,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,8,93.80733944954129,4.0,474064160,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,9,93.46330275229357,4.0,533322180,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,10,93.69266055045871,4.0,592580200,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,11,93.80733944954129,4.0,651838220,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,12,93.80733944954129,4.0,711096240,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,13,94.15137614678899,4.0,770354260,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,14,93.80733944954129,4.0,829612280,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,15,93.92201834862385,4.0,888870300,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,16,94.26605504587155,4.0,948128320,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,17,94.38073394495413,4.0,1007386340,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,18,94.15137614678899,4.0,1066644360,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,19,94.61009174311927,4.0,1125902380,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,46,20,94.26605504587155,4.0,1185160400,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
product16_sample,42,1,91.74311926605505,16.0,94648908,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,2,92.88990825688073,16.0,189297816,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,3,93.57798165137615,16.0,283946724,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
