effect,endpoint,seed,difference_pp,paired_mean,sample_sd,ci95_low,ci95_high
adaptation_size,best_accuracy,44,0.0,-0.16055045871559628,0.19189450149864112,-0.3988189526797177,0.07771803524852508
adaptation_size,best_accuracy,45,0.0,-0.16055045871559628,0.19189450149864112,-0.3988189526797177,0.07771803524852508
adaptation_size,best_accuracy,46,-0.22935779816512536,-0.16055045871559628,0.19189450149864112,-0.3988189526797177,0.07771803524852508
adaptation_size,final_accuracy,42,-0.34403669724770225,-0.32110091743118974,0.2205892667622909,-0.5949986683600931,-0.0472031665022864
adaptation_size,final_accuracy,43,-0.6880733944954187,-0.32110091743118974,0.2205892667622909,-0.5949986683600931,-0.0472031665022864
adaptation_size,final_accuracy,44,-0.22935779816512536,-0.32110091743118974,0.2205892667622909,-0.5949986683600931,-0.0472031665022864
adaptation_size,final_accuracy,45,-0.22935779816513957,-0.32110091743118974,0.2205892667622909,-0.5949986683600931,-0.0472031665022864
adaptation_size,final_accuracy,46,-0.11467889908256268,-0.32110091743118974,0.2205892667622909,-0.5949986683600931,-0.0472031665022864
adaptation_uniform,best_accuracy,42,-0.573394495412856,-0.3440366972477051,0.1813232603307595,-0.5691792616373383,-0.11889413285807185
adaptation_uniform,best_accuracy,43,-0.11467889908256268,-0.3440366972477051,0.1813232603307595,-0.5691792616373383,-0.11889413285807185
adaptation_uniform,best_accuracy,44,-0.22935779816513957,-0.3440366972477051,0.1813232603307595,-0.5691792616373383,-0.11889413285807185
adaptation_uniform,best_accuracy,45,-0.34403669724770225,-0.3440366972477051,0.1813232603307595,-0.5691792616373383,-0.11889413285807185
adaptation_uniform,best_accuracy,46,-0.45871559633026493,-0.3440366972477051,0.1813232603307595,-0.5691792616373383,-0.11889413285807185
adaptation_uniform,final_accuracy,42,-1.6055045871559628,-0.3899082568807358,0.7546185264386285,-1.326890913537158,0.5470743997756863
adaptation_uniform,final_accuracy,43,-0.11467889908256268,-0.3899082568807358,0.7546185264386285,-1.326890913537158,0.5470743997756863
adaptation_uniform,final_accuracy,44,0.0,-0.3899082568807358,0.7546185264386285,-1.326890913537158,0.5470743997756863
adaptation_uniform,final_accuracy,45,0.34403669724770225,-0.3899082568807358,0.7546185264386285,-1.326890913537158,0.5470743997756863
adaptation_uniform,final_accuracy,46,-0.573394495412856,-0.3899082568807358,0.7546185264386285,-1.326890913537158,0.5470743997756863
weighting_fixed,best_accuracy,42,-0.22935779816513957,-0.11467889908256552,0.18132326033075724,-0.339821463472196,0.11046366530706493
weighting_fixed,best_accuracy,43,0.11467889908257689,-0.11467889908256552,0.18132326033075724,-0.339821463472196,0.11046366530706493
weighting_fixed,best_accuracy,44,-0.11467889908256268,-0.11467889908256552,0.18132326033075724,-0.339821463472196,0.11046366530706493
weighting_fixed,best_accuracy,45,-0.34403669724770225,-0.11467889908256552,0.18132326033075724,-0.339821463472196,0.11046366530706493
weighting_fixed,best_accuracy,46,0.0,-0.11467889908256552,0.18132326033075724,-0.339821463472196,0.11046366530706493
weighting_fixed,final_accuracy,42,-0.22935779816513957,0.022935779816512535,0.2205892667622872,-0.2509619711123863,0.2968335307454113
weighting_fixed,final_accuracy,43,0.11467889908257689,0.022935779816512535,0.2205892667622872,-0.2509619711123863,0.2968335307454113
weighting_fixed,final_accuracy,44,0.34403669724770225,0.022935779816512535,0.2205892667622872,-0.2509619711123863,0.2968335307454113
weighting_fixed,final_accuracy,45,0.0,0.022935779816512535,0.2205892667622872,-0.2509619711123863,0.2968335307454113
weighting_fixed,final_accuracy,46,-0.11467889908257689,0.022935779816512535,0.2205892667622872,-0.2509619711123863,0.2968335307454113
weighting_adaptive,best_accuracy,42,0.22935779816513957,0.06880733944954329,0.19189450149864323,-0.16946115451458071,0.3070758334136673
weighting_adaptive,best_accuracy,43,-0.22935779816513957,0.06880733944954329,0.19189450149864323,-0.16946115451458071,0.3070758334136673
weighting_adaptive,best_accuracy,44,0.11467889908257689,0.06880733944954329,0.19189450149864323,-0.16946115451458071,0.3070758334136673
weighting_adaptive,best_accuracy,45,0.0,0.06880733944954329,0.19189450149864323,-0.16946115451458071,0.3070758334136673
weighting_adaptive,best_accuracy,46,0.22935779816513957,0.06880733944954329,0.19189450149864323,-0.16946115451458071,0.3070758334136673
weighting_adaptive,final_accuracy,42,1.032110091743121,0.09174311926605867,0.6507459155555573,-0.7162646560574252,0.8997508945895426
weighting_adaptive,final_accuracy,43,-0.45871559633027914,0.09174311926605867,0.6507459155555573,-0.7162646560574252,0.8997508945895426
weighting_adaptive,final_accuracy,44,0.11467889908257689,0.09174311926605867,0.6507459155555573,-0.7162646560574252,0.8997508945895426
weighting_adaptive,final_accuracy,45,-0.5733944954128418,0.09174311926605867,0.6507459155555573,-0.7162646560574252,0.8997508945895426
weighting_adaptive,final_accuracy,46,0.34403669724771646,0.09174311926605867,0.6507459155555573,-0.7162646560574252,0.8997508945895426
adaptation_main,best_accuracy,42,-0.34403669724771646,-0.2522935779816507,0.10416228282445471,-0.3816281345354946,-0.12295902142780676
adaptation_main,best_accuracy,43,-0.2866972477064209,-0.2522935779816507,0.10416228282445471,-0.3816281345354946,-0.12295902142780676
adaptation_main,best_accuracy,44,-0.11467889908256979,-0.2522935779816507,0.10416228282445471,-0.3816281345354946,-0.12295902142780676
adaptation_main,best_accuracy,45,-0.17201834862385113,-0.2522935779816507,0.10416228282445471,-0.3816281345354946,-0.12295902142780676
adaptation_main,best_accuracy,46,-0.34403669724769514,-0.2522935779816507,0.10416228282445471,-0.3816281345354946,-0.12295902142780676
adaptation_main,final_accuracy,42,-0.9747706422018325,-0.3555045871559628,0.39184287989151034,-0.8420417840697338,0.13103260975780823
adaptation_main,final_accuracy,43,-0.4013761467889907,-0.3555045871559628,0.39184287989151034,-0.8420417840697338,0.13103260975780823
adaptation_main,final_accuracy,44,-0.11467889908256268,-0.3555045871559628,0.39184287989151034,-0.8420417840697338,0.13103260975780823
