task,round,client_id,is_synthetic,partition_strategy,partition_alpha,partition_seed,hardware_batch_size,train_samples_seen,partition_samples,adaptive_rank,local_loss,quality_score,entropy,normalized_entropy,class_imbalance_ratio,kl_to_global,js_to_global,zero_class_count,update_cosine_distance_to_mean,update_l2_distance_to_mean,update_norm,full_accuracy,loo_accuracy,delta_accuracy
AGNews-LSTM,5,2,False,dirichlet,0.5,42,256,126336,42112,8,1.1324180126190186,0.4689512066031594,1.1655917042872508,0.8407966857382659,6.993548387096774,0.2207026568306324,0.059670468611799025,0,0.19760439368515115,2.9575286393086544,4.481966319699299,25.460526315789473,25.526315789473685,-0.0657894736842124
Tabular-MLP,1,0,False,dirichlet,0.5,42,16,306,102,2,0.6930967211723327,0.590633711290623,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607734,0.026528802706868533,0,0.11524770852513355,0.08334715566125038,0.1582507925151551,55.0,46.666666666666664,8.333333333333336
Tabular-MLP,1,1,False,dirichlet,0.5,42,64,33,11,2,0.6931459903717041,0.590616524320189,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,0.10409972581017946,0.048397920640606856,0.10858544710127274,55.0,55.0,0.0
Tabular-MLP,1,2,False,dirichlet,0.5,42,256,372,124,8,0.6931448578834534,0.5906169193639275,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.2221639477756705,0.06392791158262558,0.0852149528815888,55.0,55.0,0.0
Tabular-MLP,2,0,False,dirichlet,0.5,42,16,306,102,2,0.6929548144340516,0.5906832193476447,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607734,0.026528802706868533,0,0.039430153065446394,0.1342222110759887,0.19693703723722247,55.0,81.66666666666667,-26.66666666666667
Tabular-MLP,2,1,False,dirichlet,0.5,42,64,33,11,2,0.6931536197662354,0.5906138629866702,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,0.8570028851638021,0.07467731730953374,0.04457583973827359,55.0,55.0,0.0
Tabular-MLP,2,2,False,dirichlet,0.5,42,256,372,124,8,0.6931397318840027,0.5906187074632481,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.8566612754825162,0.06910542726705769,0.030230734226174515,55.0,55.0,0.0
Tabular-MLP,3,0,False,dirichlet,0.5,42,16,306,102,2,0.6924867153167724,0.5908465874208272,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607734,0.026528802706868533,0,0.020689175433045937,0.18045585564101765,0.2645522414289398,55.0,61.666666666666664,-6.666666666666664
Tabular-MLP,3,1,False,dirichlet,0.5,42,64,33,11,2,0.6931807398796082,0.5906044029718316,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,1.3191409362146826,0.10486684607311214,0.0374188977831905,55.0,55.0,0.0
Tabular-MLP,3,2,False,dirichlet,0.5,42,256,372,124,8,0.693122148513794,0.5906248411420228,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.6217442973945562,0.08032261508193358,0.03464295032410246,55.0,55.0,0.0
Tabular-MLP,4,0,False,dirichlet,0.5,42,16,306,102,2,0.6909486055374148,0.5913840294881,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607734,0.026528802706868533,0,0.014646945405454082,0.23932369485408736,0.35392083232309435,55.0,61.666666666666664,-6.666666666666664
Tabular-MLP,4,1,False,dirichlet,0.5,42,64,33,11,2,0.6932504177093508,0.590580099400071,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,1.540775304991371,0.14467099463416194,0.042570446055461335,55.0,55.0,0.0
Tabular-MLP,4,2,False,dirichlet,0.5,42,256,372,124,8,0.6930427551269531,0.5906525378474655,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.420060335787501,0.09830444502086735,0.0443644853190529,55.0,55.0,0.0
Tabular-MLP,5,0,False,dirichlet,0.5,42,16,306,102,2,0.6865394830703735,0.5929300855616396,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607734,0.026528802706868533,0,0.010850856103991391,0.3034081750508038,0.45323818307492936,58.333333333333336,60.0,-1.6666666666666643
