task,round,client_id,is_synthetic,quality_score,delta_accuracy,js_to_global,update_l2_distance_to_mean,update_cosine_distance_to_mean,normalized_entropy,class_imbalance_ratio,form,gamma,target_lambda_cv,achieved_lambda_cv,raw_lambda_score,predicted_delta_accuracy,lambda_weight,effective_quality_score
CIFAR-CNN,1,1,False,0.4093150743377552,-2.3100000000000023,0.1270531045453641,17.569513807327958,0.4984138860489827,0.7967189924583488,55.67142857142857,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.020631888679357134,0.6874278921089761,0.9589039634132148,0.3924938470672481
CIFAR-CNN,1,2,False,0.4113772017371256,2.289999999999999,0.2013488097591719,17.677423134416596,0.8667748461514857,0.6629176105093935,1414.6666666666667,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.060557854150504804,0.9336798406651996,1.1707744768152737,0.48162992813751454
CIFAR-CNN,2,0,False,0.3933378683634273,1.1000000000000014,0.0580468695814876,27.38849823270638,0.1091872845066908,0.9024849063615884,14.881028938906752,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.0013483019289954859,0.5684922381706613,0.9016394575834354,0.35464894227822535
CIFAR-CNN,2,1,False,0.4394558171094404,0.620000000000001,0.1270531045453641,19.69751080506201,0.2889969534588023,0.7967189924583488,55.67142857142857,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.015522816417653953,0.6559165940122994,0.9678598542888931,0.42533164311394944
CIFAR-CNN,2,2,False,0.4967814207597524,3.030000000000001,0.2013488097591719,18.339055676920637,0.433016256611592,0.6629176105093935,1414.6666666666667,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.04658853686629895,0.8475210825577293,1.1305006881276716,0.5616117380179424
CIFAR-CNN,3,0,False,0.3813664683131939,0.8000000000000007,0.0580468695814876,27.516768543398204,0.161164230624762,0.9024849063615884,14.881028938906752,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.0031770393913608096,0.5797713683855751,0.8868671435930502,0.33822139041509175
CIFAR-CNN,3,1,False,0.4521299820662716,0.4600000000000008,0.1270531045453641,21.076426227375133,0.4247186073518083,0.7967189924583488,55.67142857142857,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.021238375933680192,0.6911685322259821,0.9706848682061497,0.4388757320540477
CIFAR-CNN,3,2,False,0.513110437505718,1.6700000000000017,0.2013488097591719,16.646525698924645,0.6966779010890121,0.6629176105093935,1414.6666666666667,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.05382372095824977,0.8921456310133804,1.1424479882007998,0.5862019870532398
CIFAR-CNN,4,0,False,0.4195614080496635,-0.2800000000000011,0.0580468695814876,26.798227264436044,0.2024526621565514,0.9024849063615884,14.881028938906752,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.004110681636723311,0.5855298070222329,0.8835464434749994,0.3707019899016432
CIFAR-CNN,4,1,False,0.4695703258168753,4.469999999999999,0.1270531045453641,21.412538023076323,0.4922943970552486,0.7967189924583488,55.67142857142857,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.02378089807576929,0.7068500824239161,0.9748610423495814,0.4577658172822716
