context_id,variant_id,label,round,domain_id,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,19,4,accuracy,3,0.21966666666666665,0.020508128469788105,0.2045,0.243
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,20,0,accuracy,3,0.237,0.05706794196394329,0.19,0.3005
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,20,1,accuracy,3,0.3408333333333333,0.13654425412053534,0.2615,0.4985
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,20,2,accuracy,3,0.31583333333333335,0.05775883770760396,0.25,0.358
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,20,3,accuracy,3,0.17433333333333334,0.05085354789327224,0.1185,0.218
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,20,4,accuracy,3,0.223,0.007053367989832949,0.2155,0.2295
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,21,0,accuracy,3,0.24983333333333335,0.08179292960478511,0.16,0.32
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,21,1,accuracy,3,0.34833333333333333,0.07461959081456648,0.2975,0.434
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,21,2,accuracy,3,0.3378333333333333,0.04982552893179692,0.281,0.374
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,21,3,accuracy,3,0.1885,0.04164432734478972,0.145,0.228
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,21,4,accuracy,3,0.22566666666666668,0.020526405757787528,0.203,0.243
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,22,0,accuracy,3,0.22116666666666665,0.07209773459224175,0.1535,0.297
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,22,1,accuracy,3,0.3358333333333333,0.12872483572851562,0.2515,0.484
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,22,2,accuracy,3,0.3278333333333333,0.0651466294855945,0.2535,0.375
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,22,3,accuracy,3,0.17133333333333334,0.041001016247567974,0.1305,0.2125
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,22,4,accuracy,3,0.23866666666666667,0.016750621879002982,0.222,0.2555
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,23,0,accuracy,3,0.2506666666666667,0.08479435908911238,0.1675,0.337
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,23,1,accuracy,3,0.3556666666666667,0.07611559192000897,0.309,0.4435
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,23,2,accuracy,3,0.3308333333333333,0.039256634258852785,0.292,0.3705
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,23,3,accuracy,3,0.19533333333333333,0.03569780572154728,0.162,0.233
