context_id,variant_id,label,round,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,mean_tail_mass,3,0.004174688680873467,0.0005535709361145026,0.003535529009039796,0.004501121744992555
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,max_tail_mass,3,0.019097057527203816,0.0018883498696570112,0.017725159501501917,0.02125075552593078
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,mean_residual_energy,3,0.5348054698620318,0.14317621297146038,0.37004756409830103,0.6290398994155112
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,mean_merge_error_energy,0,,,,
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,mean_relative_merge_error,0,,,,
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,effective_messages,3,30.0,0.0,30.0,30.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,effective_floats,3,293760.0,0.0,293760.0,293760.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,operational_messages,3,30.0,0.0,30.0,30.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,operational_floats,3,293760.0,0.0,293760.0,293760.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,wall_seconds,3,0.6430111009006699,0.06284959628672115,0.572486961260438,0.6930998712778091
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,cumulative_effective_floats,3,1762560.0,0.0,1762560.0,1762560.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,cumulative_operational_floats,3,1762560.0,0.0,1762560.0,1762560.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,personalized_accuracy,3,0.1977643310476894,0.023121787159663874,0.17243345294319806,0.21773572673122904
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,personalized_sample_weighted_accuracy,3,0.19773333333333334,0.023121923218740553,0.1724,0.2177
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,consensus_accuracy,3,0.035833333333333335,0.001855622087962238,0.0339,0.0376
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,accuracy_gap,3,0.23316666666666666,0.10805129954486124,0.162,0.3575
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,worst_domain_accuracy,3,0.10716666666666666,0.042018844978572806,0.0605,0.142
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,consensus_distance,3,14.430430433485244,0.6380389871774528,13.779770914713541,15.055051676432292
