context_id,left_variant_id,right_variant_id,left_label,right_label,metric,n,mean,sample_std,min,max
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,personalized_sample_weighted_accuracy,3,0.010333333333333332,0.008958422480176592,0.0001999999999999988,0.0172
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,consensus_accuracy,3,0.0038333333333333323,0.007839855440844132,-0.0046,0.0109
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,accuracy_gap,3,0.03916666666666666,0.013714347718113817,0.02349999999999998,0.049
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,worst_domain_accuracy,3,-0.0005000000000000008,0.004769696007084728,-0.0035000000000000014,0.004999999999999999
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,consensus_distance,3,-7515.419995743699,2615.884841791137,-10399.55642147859,-5296.06720575889
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,total_effective_messages,3,0.0,0.0,0.0,0.0
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,total_effective_floats,3,0.0,0.0,0.0,0.0
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,total_operational_messages,3,0.0,0.0,0.0,0.0
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,total_operational_floats,3,23712000.0,0.0,23712000.0,23712000.0
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,wall_seconds,3,4.364532618783414,0.876843651744045,3.3905084608122706,5.0909449784085155
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,personalized_accuracy,3,0.15926451188820007,0.042288103706666774,0.11462992227609922,0.19873111492301904
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,personalized_sample_weighted_accuracy,3,0.15923333333333334,0.04228738976732109,0.11460000000000001,0.1987
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,consensus_accuracy,3,0.024033333333333334,0.016070262391552088,0.008899999999999998,0.040900000000000006
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,accuracy_gap,3,0.165,0.0555697759577992,0.129,0.22899999999999998
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,worst_domain_accuracy,3,0.08983333333333333,0.027501515109777743,0.0625,0.11750000000000001
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,consensus_distance,3,-4146.377864583334,2748.427393383295,-7175.038541666667,-1810.91171875
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,total_effective_messages,3,-9000.0,0.0,-9000.0,-9000.0
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,total_effective_floats,3,-88128000.0,0.0,-88128000.0,-88128000.0
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,total_operational_messages,3,0.0,0.0,0.0,0.0
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,total_operational_floats,3,-7344000.0,0.0,-7344000.0,-7344000.0
b729ad24b6b0,0bcde22a1ce1,1bf906c2712a,FedAvg / factor zero-pad,MH / factor zero-pad / ring,wall_seconds,3,-0.7939903661608696,0.2538494700554612,-0.9958131453022361,-0.5089859897270799
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,personalized_accuracy,3,0.48895187041114085,0.004112221100474953,0.4842473658065863,0.4918618768693732
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,personalized_sample_weighted_accuracy,3,0.4889,0.004107310555582526,0.4842000000000001,0.4918
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,consensus_accuracy,3,0.09153333333333334,0.010396794377755737,0.07980000000000001,0.09960000000000001
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,accuracy_gap,3,0.0785,0.034252737116907905,0.04049999999999998,0.10699999999999997
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,worst_domain_accuracy,3,0.45266666666666666,0.02164678575062204,0.428,0.46849999999999997
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,consensus_distance,3,-6198.100434027778,2514.0927124126642,-8957.725520833334,-4037.8942708333334
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,total_effective_messages,3,-10500.0,0.0,-10500.0,-10500.0
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,total_effective_floats,3,-102816000.0,0.0,-102816000.0,-102816000.0
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,total_operational_messages,3,-1500.0,0.0,-1500.0,-1500.0
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,total_operational_floats,3,-22032000.0,0.0,-22032000.0,-22032000.0
b729ad24b6b0,0bcde22a1ce1,51d33462378d,FedAvg / factor zero-pad,Local / ΔW,wall_seconds,3,-2.0300665612642965,0.7048628095434935,-2.734879031777382,-1.325153423473239
b729ad24b6b0,0bcde22a1ce1,658f968893fe,FedAvg / factor zero-pad,Oracle / ΔW / bridge 5,personalized_accuracy,3,0.3936671804238021,0.004758891641560446,0.3884334109221666,0.397734165950058
b729ad24b6b0,0bcde22a1ce1,658f968893fe,FedAvg / factor zero-pad,Oracle / ΔW / bridge 5,personalized_sample_weighted_accuracy,3,0.39363333333333334,0.004758501164582556,0.38839999999999997,0.3977
b729ad24b6b0,0bcde22a1ce1,658f968893fe,FedAvg / factor zero-pad,Oracle / ΔW / bridge 5,consensus_accuracy,3,0.0612,0.013077079184588586,0.046099999999999995,0.0688
b729ad24b6b0,0bcde22a1ce1,658f968893fe,FedAvg / factor zero-pad,Oracle / ΔW / bridge 5,accuracy_gap,3,0.09933333333333333,0.012789970028633102,0.09049999999999997,0.11399999999999998
