path,comparison_group,status,classification,track,task,arm,seed,primary_metric,n_train,n_validation,n_clients,best_round,best_primary,final_primary,best_accuracy,final_accuracy,best_f1,final_f1,total_steps,total_examples,total_probe_examples,training_bytes,evaluation_assembly_bytes,production_bytes,elapsed_seconds,source_sha256,split_sha256,capacity_scope,warnings,rounds_recorded,checkpoint_verification,checkpoint_verification_kind,checkpoint_verified_endpoints,checkpoint_files_present,error
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_uniform-seed46,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_uniform,46,accuracy,67349,872,10,19,94.26605504587155,94.03669724770643,94.26605504587155,94.03669724770643,94.40715883668904,94.24778761061947,42200,1350400,0,1468284560,1776358680,1557102814,8466.69353958778,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,cc2a0130357b29e1365b8567c10fba6042744d102f7a789a3c5c33a2accf1945,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed42,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,product16_sample,42,accuracy,67349,872,10,16,94.72477064220183,94.26605504587155,94.72477064220183,94.26605504587155,94.84304932735427,94.40715883668904,42200,1350400,0,1892978160,2366219480,2011289454,8401.079785739072,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed43,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,product16_sample,43,accuracy,67349,872,10,18,94.83944954128441,94.4954128440367,94.83944954128441,94.4954128440367,94.94949494949495,94.6067415730337,42200,1350400,0,1892978160,2366219480,2011289454,8222.540079658851,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,40f4fa197ac3676c05bff03836c80ab1b7dfd0c9d5778b2888f8d4aa90122eff,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed44,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,product16_sample,44,accuracy,67349,872,10,18,94.4954128440367,94.15137614678899,94.4954128440367,94.15137614678899,94.6067415730337,94.2242355605889,42200,1350400,0,1892978160,2366219480,2011289454,8298.335759952664,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,759c006eaa41cc798fc003c8ea14876c63ff9a639bbdffd0bdda130391fcfcc4,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed45,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,product16_sample,45,accuracy,67349,872,10,13,94.95412844036697,94.72477064220183,94.95412844036697,94.72477064220183,95.03386004514672,94.81981981981981,42200,1350400,0,1892978140,2366219480,2011289434,8363.686951143667,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,75f684163d3981c01b27b7a044e757847c5bc3a7e0aa7de4aec401fb27185e3d,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed46,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,product16_sample,46,accuracy,67349,872,10,15,94.61009174311927,94.4954128440367,94.61009174311927,94.4954128440367,94.7603121516165,94.64285714285714,42200,1350400,0,1892978200,2366219480,2011289494,8411.871052786708,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,cc2a0130357b29e1365b8567c10fba6042744d102f7a789a3c5c33a2accf1945,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-adaptive_sample,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,adaptive_sample,42,accuracy,640,872,10,4,52.522935779816514,52.522935779816514,52.522935779816514,52.522935779816514,68.15384615384616,68.15384615384616,80,2560,2464,285988852,352913048,367139150,46.89804649166763,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,training ranks within declared heterogeneous caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-adaptive_uniform,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,adaptive_uniform,42,accuracy,640,872,10,4,68.80733944954129,68.80733944954129,68.80733944954129,68.80733944954129,56.962025316455694,56.962025316455694,80,2560,2464,285988816,352912488,367138974,44.392648136243224,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,training ranks within declared heterogeneous caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-declora16,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,declora16,42,accuracy,640,872,10,4,68.0045871559633,68.0045871559633,68.0045871559633,68.0045871559633,55.072463768115945,55.072463768115945,80,2560,0,378595600,473242296,496906494,31.502009017392993,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,uniform-rank reference exceeds some declared client caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-declora4,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,declora4,42,accuracy,640,872,10,4,69.03669724770643,69.03669724770643,69.03669724770643,69.03669724770643,57.142857142857146,57.142857142857146,80,2560,0,237032080,296287896,311104374,29.309435311704874,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,training ranks within declared heterogeneous caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
